BenchmarkTableGetStringKey-32                        	    6655	     93751 ns/op	       0 B/op	       0 allocs/op
BenchmarkTableGetStringKey-32                        	    6374	     94682 ns/op	       0 B/op	       0 allocs/op
BenchmarkTableSetStringKey-32                        	    4944	    127940 ns/op	    2488 B/op	       5 allocs/op
BenchmarkTableSetStringKey-32                        	    4814	    142299 ns/op	    2489 B/op	       5 allocs/op
BenchmarkTableSetStringKey-32                        	    4639	    128760 ns/op	    2489 B/op	       5 allocs/op
BenchmarkTableGetIntKey-32                           	    5172	    107478 ns/op	   11024 B/op	    1378 allocs/op
BenchmarkTableGetIntKey-32                           	    5616	    103287 ns/op	   11024 B/op	    1378 allocs/op
BenchmarkTableGetIntKey-32                           	    5860	    101905 ns/op	   11024 B/op	    1378 allocs/op
BenchmarkTableSetIntKey-32                           	    6387	     95892 ns/op	     608 B/op	       2 allocs/op
BenchmarkTableSetIntKey-32                           	    6247	     98327 ns/op	     608 B/op	       2 allocs/op
BenchmarkTableSetIntKey-32                           	    6081	     95137 ns/op	     608 B/op	       2 allocs/op
BenchmarkTableMixedAccess-32                         	    9120	     65460 ns/op	    5216 B/op	     585 allocs/op
BenchmarkTableMixedAccess-32                         	    9195	     70092 ns/op	    5216 B/op	     585 allocs/op
BenchmarkTableMixedAccess-32                         	    8853	     67696 ns/op	    5216 B/op	     585 allocs/op
BenchmarkVMStringConcat-32                           	   67663	      8437 ns/op	    7315 B/op	     200 allocs/op
BenchmarkVMStringConcat-32                           	   72133	      9652 ns/op	    7315 B/op	     200 allocs/op
BenchmarkVMStringConcat-32                           	   61927	      9785 ns/op	    7315 B/op	     200 allocs/op
BenchmarkStringTableConcat-32                        	  102601	      5544 ns/op	    4215 B/op	       6 allocs/op
BenchmarkStringTableConcat-32                        	  101886	      5662 ns/op	    4216 B/op	       6 allocs/op
BenchmarkStringTableConcat-32                        	  107584	      5543 ns/op	    4215 B/op	       6 allocs/op
BenchmarkArithMixed-32                               	    4430	    123129 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32                               	    4351	    126291 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithMixed-32                               	    4473	    122773 ns/op	   29785 B/op	    3723 allocs/op
BenchmarkArithIntOnly-32                             	    5106	    116098 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32                             	    4884	    113157 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkArithIntOnly-32                             	    4873	    110878 ns/op	   23601 B/op	    2950 allocs/op
BenchmarkVMFunctionCall-32                           	    9962	     61687 ns/op	    5112 B/op	     639 allocs/op
BenchmarkVMFunctionCall-32                           	    9856	     61550 ns/op	    5112 B/op	     639 allocs/op
BenchmarkVMFunctionCall-32                           	    9434	     63222 ns/op	    5112 B/op	     639 allocs/op
BenchmarkLocalAccess-32                              	    7758	     68784 ns/op	   23960 B/op	    2995 allocs/op
BenchmarkLocalAccess-32                              	    7689	     86740 ns/op	   23960 B/op	    2995 allocs/op
BenchmarkLocalAccess-32                              	    7659	     67746 ns/op	   23960 B/op	    2995 allocs/op
BenchmarkUpvalueAccess-32                            	   10000	     61534 ns/op	     120 B/op	       3 allocs/op
BenchmarkUpvalueAccess-32                            	   10000	     58237 ns/op	     120 B/op	       3 allocs/op
BenchmarkUpvalueAccess-32                            	    9340	     59364 ns/op	     120 B/op	       3 allocs/op
BenchmarkComparison-32                               	   21170	     28725 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32                               	   21105	     28703 ns/op	       0 B/op	       0 allocs/op
BenchmarkComparison-32                               	   21006	     28674 ns/op	       0 B/op	       0 allocs/op
BenchmarkVMGlobalAccess-32                           	   10000	     57016 ns/op	    7948 B/op	     993 allocs/op
BenchmarkVMGlobalAccess-32                           	   10000	     55103 ns/op	    7948 B/op	     993 allocs/op
