BenchmarkClosureCreate-32                            	   55198	     11027 ns/op	   16064 B/op	     304 allocs/op
BenchmarkClosureCreate-32                            	   57578	     10757 ns/op	   16064 B/op	     304 allocs/op
BenchmarkInternerTruthyParallel-32        	25614087	        47.81 ns/op	       8 B/op	       1 allocs/op
BenchmarkInternerTruthyParallel-32        	25982550	        48.62 ns/op	       8 B/op	       1 allocs/op
BenchmarkInternerTruthyParallel-32        	25941744	        47.42 ns/op	       8 B/op	       1 allocs/op
BenchmarkInternerTruthyParallel-32        	25594416	        48.13 ns/op	       8 B/op	       1 allocs/op
BenchmarkInternerTruthyParallel-32        	25915412	        47.24 ns/op	       8 B/op	       1 allocs/op
BenchmarkInternerTruthyParallel-32        	26357722	        47.61 ns/op	       8 B/op	       1 allocs/op
BenchmarkConstraintWithoutInterning-32    	1000000000	         0.6103 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstraintWithoutInterning-32    	1000000000	         0.6156 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstraintWithoutInterning-32    	1000000000	         0.6279 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstraintWithoutInterning-32    	1000000000	         0.6330 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstraintWithoutInterning-32    	1000000000	         0.6131 ns/op	       0 B/op	       0 allocs/op
BenchmarkConstraintWithoutInterning-32    	1000000000	         0.6149 ns/op	       0 B/op	       0 allocs/op
ok  	github.com/wippyai/go-lua/types/constraint	157.515s
ok  	github.com/wippyai/go-lua/types/constraint/theory	0.004s
ok  	github.com/wippyai/go-lua/types/contract	0.004s
ok  	github.com/wippyai/go-lua/types/db	0.004s
ok  	github.com/wippyai/go-lua/types/diag	0.004s
ok  	github.com/wippyai/go-lua/types/effect	0.003s
goos: linux
goarch: amd64
pkg: github.com/wippyai/go-lua/types/flow
BenchmarkProductDomain_ApplyAtom_TypeOnly-32               	 1537725	       820.0 ns/op	    1840 B/op	      32 allocs/op
BenchmarkProductDomain_ApplyAtom_TypeOnly-32               	 1287415	      1003 ns/op	    1840 B/op	      32 allocs/op
BenchmarkProductDomain_ApplyAtom_TypeOnly-32               	 1107268	      1085 ns/op	    1840 B/op	      32 allocs/op
BenchmarkProductDomain_ApplyAtom_TypeOnly-32               	 1000000	      1008 ns/op	    1840 B/op	      32 allocs/op
BenchmarkProductDomain_ApplyAtom_TypeOnly-32               	 1542212	       776.3 ns/op	    1840 B/op	      32 allocs/op
BenchmarkProductDomain_ApplyAtom_TypeOnly-32               	 1532257	       767.5 ns/op	    1840 B/op	      32 allocs/op
BenchmarkProductDomain_ApplyAtom_NumericOnly-32            	 1248283	       951.0 ns/op	    2208 B/op	      36 allocs/op
BenchmarkProductDomain_ApplyAtom_NumericOnly-32            	 1301347	       866.1 ns/op	    2208 B/op	      36 allocs/op
BenchmarkProductDomain_ApplyAtom_NumericOnly-32            	 1398434	       920.5 ns/op	    2208 B/op	      36 allocs/op
BenchmarkProductDomain_ApplyAtom_NumericOnly-32            	 1217536	      1070 ns/op	    2208 B/op	      36 allocs/op
BenchmarkProductDomain_ApplyAtom_NumericOnly-32            	 1111497	      1036 ns/op	    2208 B/op	      36 allocs/op
BenchmarkProductDomain_ApplyAtom_NumericOnly-32            	 1362022	       904.3 ns/op	    2208 B/op	      36 allocs/op
BenchmarkProductDomain_ApplyAtom_Both-32                   	  882364	      1170 ns/op	    2600 B/op	      42 allocs/op
BenchmarkProductDomain_ApplyAtom_Both-32                   	  884106	      1262 ns/op	    2600 B/op	      42 allocs/op
BenchmarkProductDomain_ApplyAtom_Both-32                   	 1000000	      1157 ns/op	    2600 B/op	      42 allocs/op
BenchmarkProductDomain_ApplyAtom_Both-32                   	  978651	      1091 ns/op	    2600 B/op	      42 allocs/op
BenchmarkProductDomain_ApplyAtom_Both-32                   	 1000000	      1076 ns/op	    2600 B/op	      42 allocs/op
BenchmarkProductDomain_ApplyAtom_Both-32                   	 1000000	      1176 ns/op	    2600 B/op	      42 allocs/op
BenchmarkProductDomain_ApplyConjunction_Simple-32          	  735049	      1579 ns/op	    2592 B/op	      39 allocs/op
BenchmarkProductDomain_ApplyConjunction_Simple-32          	  799249	      1721 ns/op	    2592 B/op	      39 allocs/op
BenchmarkProductDomain_ApplyConjunction_Simple-32          	  828465	      1701 ns/op	    2592 B/op	      39 allocs/op
BenchmarkProductDomain_ApplyConjunction_Simple-32          	  763090	      1733 ns/op	    2592 B/op	      39 allocs/op
